Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_46_44,VPWR,li1,26.4500,138.7200,1.799986
FILLER_46_29,VPWR,li1,19.3200,138.7200,1.799989
FILLER_46_26,VPWR,li1,17.9400,138.7200,1.799989
FILLER_45_306,VPWR,li1,146.7400,133.2800,1.799800
FILLER_45_303,VPWR,li1,145.5900,133.2800,1.799800
FILLER_45_300,VPWR,li1,144.2100,133.2800,1.799800
FILLER_45_291,VPWR,li1,139.8400,133.2800,1.799800
FILLER_45_288,VPWR,li1,138.6900,133.2800,1.799800
FILLER_45_277,VPWR,li1,133.6300,133.2800,1.799801
FILLER_45_274,VPWR,li1,132.2500,133.2800,1.799802
FILLER_45_271,VPWR,li1,130.8700,133.2800,1.799802
FILLER_45_261,VPWR,li1,126.0400,133.2800,1.799803
FILLER_45_258,VPWR,li1,124.8900,133.2800,1.799803
FILLER_45_255,VPWR,li1,123.5100,133.2800,1.799803
FILLER_45_252,VPWR,li1,122.1300,133.2800,1.799804
FILLER_45_249,VPWR,li1,120.7500,133.2800,1.799804
FILLER_45_246,VPWR,li1,119.3700,133.2800,1.799804
FILLER_45_236,VPWR,li1,114.7700,133.2800,1.799806
FILLER_45_233,VPWR,li1,113.3900,133.2800,1.799806
FILLER_45_222,VPWR,li1,108.1000,133.2800,1.799808
FILLER_45_201,VPWR,li1,98.4400,133.2800,1.799813
FILLER_45_198,VPWR,li1,97.2900,133.2800,1.799813
FILLER_45_195,VPWR,li1,95.9100,133.2800,1.799815
FILLER_45_192,VPWR,li1,94.5300,133.2800,1.799815
FILLER_45_189,VPWR,li1,93.1500,133.2800,1.799816
FILLER_45_186,VPWR,li1,91.7700,133.2800,1.799816
